,distance,moving_time,start_date_local,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
157,1928.7,329,2023-05-17T21:05:19Z,121.4,87.0,242.0,0.0,0.0,0.0,
158,1569.2,316,2023-05-17T15:44:16Z,124.0,38.0,278.0,0.0,0.0,0.0,
159,39824.4,5205,2023-05-17T09:20:35Z,149.7,364.0,1901.0,2875.0,65.0,0.0,
161,1570.5,291,2023-05-16T15:44:53Z,113.7,165.0,126.0,0.0,0.0,0.0,
162,41894.3,5660,2023-05-16T09:12:35Z,142.0,285.0,4969.0,406.0,0.0,0.0,
163,1942.7,360,2023-05-15T21:06:15Z,95.8,335.0,25.0,0.0,0.0,0.0,
164,1586.6,318,2023-05-15T15:43:11Z,110.7,226.0,92.0,0.0,0.0,0.0,
165,13590.5,2595,2023-05-15T09:39:02Z,104.4,2513.0,82.0,0.0,0.0,0.0,
166,38468.5,5269,2023-05-14T11:29:56Z,138.9,106.0,4747.0,416.0,0.0,0.0,
167,3994.4,602,2023-05-13T23:18:48Z,129.0,175.0,386.0,41.0,0.0,0.0,
168,3881.7,684,2023-05-13T18:08:06Z,112.4,455.0,229.0,0.0,0.0,0.0,
169,50614.8,6724,2023-05-12T16:32:22Z,151.4,71.0,3657.0,2113.0,883.0,0.0,
170,1775.9,302,2023-05-11T21:00:46Z,117.7,104.0,198.0,0.0,0.0,0.0,
171,1547.5,255,2023-05-11T15:45:32Z,133.0,39.0,208.0,8.0,0.0,0.0,
172,1814.0,305,2023-05-10T21:01:16Z,122.3,98.0,207.0,0.0,0.0,0.0,
173,1553.9,266,2023-05-10T15:46:53Z,131.9,17.0,249.0,0.0,0.0,0.0,
174,28332.9,3809,2023-05-10T10:45:58Z,152.1,67.0,1717.0,1243.0,782.0,0.0,
175,1740.9,358,2023-05-09T21:02:02Z,119.4,112.0,246.0,0.0,0.0,0.0,
176,1640.5,311,2023-05-09T15:45:40Z,116.5,82.0,229.0,0.0,0.0,0.0,
177,41912.8,5666,2023-05-09T08:46:33Z,140.8,160.0,4828.0,678.0,0.0,0.0,
178,2009.9,363,2023-05-08T21:05:58Z,105.0,263.0,100.0,0.0,0.0,0.0,
179,1546.9,281,2023-05-08T15:40:24Z,116.7,57.0,224.0,0.0,0.0,0.0,
